OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
51,0073,AUB 47-0073,862,27572.7620498029,18766212.8921596
52,0074,AUB 47-0074,662,13297.8697022196,4533037.0768123
53,0328,AUB 47-0328,734,16845.5920332443,12808030.304113
54,0671,AUB 47-0671,757,10551.0817213873,6957000.02070796
55,1066,AUB 47-1066,387,13120.7829355648,6559525.71540703
56,2478,AUB 47-2478,542,8564.49914624175,2464573.79819553
57,2551,AUB 47-2551,454,15625.9905004793,10839652.8426814
58,2573,AUB 47-2573,574,13904.5331643841,6868846.91547157
59,2700,AUB 47-2700,271,7220.13952253388,2011190.74629677
60,2701,AUB 47-2701,716,41729.9155285738,67719477.8468485
61,2723,AUB 47-2723,682,16806.5039354941,9967908.77062272
62,2729,AUB 47-2729,476,10908.8457397767,5922445.1888366
63,2839,AUB 47-2839,764,20906.6441275787,15990400.3053433
64,3187,AUB 47-3187,589,25197.1542833048,23568511.9614346
65,3260,AUB 47-3260,777,17594.1994462734,12585342.2148327
66,3276,AUB 47-3276,713,9743.26661842431,6329993.13194731
67,3324,AUB 47-3324,654,15661.2145902732,7367676.55349116
68,3413,AUB 47-3413,482,7909.81532645505,3473000.33966285
69,3455,AUB 47-3455,515,21127.7703437257,10453097.9514116
70,3456,AUB 47-3456,671,9100.09852627363,4656958.71089035
71,3518,AUB 47-3518,761,16623.4115267812,14605483.040961
72,3538,AUB 47-3538,869,20659.1480711517,15000124.3621942
73,3539,AUB 47-3539,480,7188.3396753752,2965627.32332405
74,3585,AUB 47-3585,780,16145.436328501,13851675.4744869
75,3591,AUB 47-3591,525,11080.998508732,6966076.34631362
76,3635,AUB 47-3635,412,7920.99533299924,3259862.70946257
77,3718,AUB 47-3718,274,16405.0899581713,9893284.36994654
78,3765,AUB 47-3765,425,7899.4005559196,3464940.80643297
79,3790,AUB 47-3790,770,26469.0743739434,32757606.2088415
80,3812,AUB 47-3812,402,11733.4012540819,5757718.39304265
81,3828,AUB 47-3828,574,11855.0480233007,3301965.79349267
82,3830,AUB 47-3830,445,10849.4802298382,3934197.26388334
83,3831,AUB 47-3831,661,7841.78078991909,3584112.33874358
84,3846,AUB 47-3846,313,7302.96417872176,3149172.23352664
85,3848,AUB 47-3848,447,7923.30734233554,3459866.46263374
86,3880,AUTUMN,615,5330.84520087399,1773993.34486403
87,0089,AVALON,423,10962.0217265837,3035735.18485848
88,0091,AVONDALE,604,44802.3312044378,49333134.1517507
89,0239,B-D 05-0239,665,33018.603817237,47638482.230937
90,0240,B-D 05-0240,542,27322.9170125861,32847175.3975569
91,2407,B-D 05-2407,560,20443.9912638483,18638356.6160586
92,2413,B-D 05-2413,876,26437.3361410583,17296962.8848194
93,3310,B-D 05-3310,549,30632.4089906521,34192330.829344
94,3463,B-D 05-3463,1,6629.50575714334,2412697.6827879
95,3849,B-D 05-3849,659,33470.9886458955,47400059.3445489
96,3334,BACUS,775,83331.6053498891,306386929.895764
97,0093,BAKER,731,26467.7916979409,39202559.2869026
98,0099,BEA 41-0099,274,6720.78575654952,2274707.28118834
99,0098,BEAR CREEK,511,33091.0372311726,38589049.3890178
100,0011,BEL 41-0011,401,4375.83638203399,1194239.83908801
101,0017,BEL 41-0017,639,14234.2970823508,5737735.53896688
102,0101,BEL 41-0101,523,14170.8964809185,5544345.85126246
103,0102,BEL 41-0102,509,10423.1384371674,4205840.15673935
104,0103,BEL 41-0103,527,7405.60984341949,3694043.27799609
105,0106,BEL 41-0106,506,8740.75586591116,4938252.09542264
106,0108,BEL 41-0108,472,9461.93846813706,4237130.2858386
107,0109,BEL 41-0109,398,10826.6864928543,3628770.1070313
108,0110,BEL 41-0110,614,9825.49142162169,3768083.54841908
109,0111,BEL 41-0111,585,14865.4679631809,6041205.44518827
110,0112,BEL 41-0112,770,19575.760143553,13463434.5804582
111,0113,BEL 41-0113,296,7299.25287833631,2399442.95789047
112,0114,BEL 41-0114,478,12962.9901703972,5941568.63562963
113,0116,BEL 41-0116,362,28198.9288688528,28370298.747219
114,0117,BEL 41-0117,288,6720.84192487423,2288899.88365328
115,0119,BEL 41-0119,319,13268.7278220651,3441209.58871082
116,0120,BEL 41-0120,275,10594.3803082205,4867577.04468834
117,0121,BEL 41-0121,785,13203.1145665434,5571001.61348057
118,0122,BEL 41-0122,474,12579.9427039535,4678012.14622819
119,0123,BEL 41-0123,783,8571.99839649587,3396071.94988305
120,0124,BEL 41-0124,533,15543.8074167662,8179761.38740056
121,0128,BEL 41-0128,527,23410.6497761406,19740884.0204417
122,0129,BEL 41-0129,360,7234.71100227464,2894170.24443111
123,0131,BEL 41-0131,480,7993.42251861476,3387133.26900163
124,0175,BEL 41-0175,736,10860.1998991089,5851226.99474124
125,0176,BEL 41-0176,658,22842.4843415891,20854057.3759528
126,0179,BEL 41-0179,410,9209.33926913218,4337937.18201022
127,0180,BEL 41-0180,377,7138.38165276919,2522883.29496846
128,0203,BEL 41-0203,705,12845.7624540128,4845135.15247247
129,0205,BEL 41-0205,301,6727.50096448087,1890280.40582517
130,0206,BEL 41-0206,719,7931.67734831108,3484198.83226999
131,0210,BEL 41-0210,391,9939.89348351363,3948517.69911603
132,0211,BEL 41-0211,370,9800.98521554484,5674261.98234824
133,0219,BEL 41-0219,744,16626.7699139294,16071295.3166659
134,0220,BEL 41-0220,456,7946.3551034678,3511353.1948081
135,0305,BEL 41-0305,507,8051.05298419664,3594846.39421716
